"Mon Apr 03 14:56:02 PDT 2017",Infinity
"Mon Apr 03 14:56:18 PDT 2017",Infinity
"Mon Apr 03 14:56:36 PDT 2017",Infinity
"Mon Apr 03 15:01:59 PDT 2017",Infinity
"Mon Apr 03 15:02:08 PDT 2017",Infinity
"Mon Apr 03 15:04:41 PDT 2017",Infinity
"Mon Apr 03 15:05:14 PDT 2017",Infinity
"Mon Apr 03 15:07:18 PDT 2017",574.0825082508251
"Mon Apr 03 15:07:55 PDT 2017",604.6105610561056
"Mon Apr 03 15:08:22 PDT 2017",626.887788778878
"Mon Apr 03 15:08:51 PDT 2017",650.8151815181518
"Mon Apr 03 15:11:23 PDT 2017",776.2277227722773
"Mon Apr 03 15:12:02 PDT 2017",808.4059405940594
"Mon Apr 03 15:13:15 PDT 2017",868.6369636963697
"Mon Apr 03 15:14:04 PDT 2017",909.0660066006601
"Mon Apr 03 15:14:36 PDT 2017",935.4686468646864
"Mon Apr 03 15:15:15 PDT 2017",967.6468646864687
"Mon Apr 03 15:15:20 PDT 2017",971.7722772277227
"Mon Apr 03 15:15:51 PDT 2017",997.3498349834983
"Mon Apr 03 15:16:21 PDT 2017",1022.1023102310231
"Mon Apr 03 15:18:28 PDT 2017",297.0811164413432
"Mon Apr 03 15:25:44 PDT 2017",113.70925054078127
"Mon Apr 03 15:28:10 PDT 2017",111.67198520060123
"Mon Apr 03 15:28:44 PDT 2017",113.63753035032951
"Mon Apr 03 15:34:02 PDT 2017",87.99976792759341
"Mon Apr 03 15:36:07 PDT 2017",84.67594292979234
"Mon Apr 03 15:36:12 PDT 2017",76.69751981590386
"Mon Apr 03 15:37:09 PDT 2017",78.51930452569675
"Mon Apr 03 15:37:13 PDT 2017",78.64714906673484
"Mon Apr 03 15:48:56 PDT 2017",78.06067504701574
"Mon Apr 03 15:49:35 PDT 2017",79.02573493021875
"Mon Apr 03 15:50:23 PDT 2017",80.21350094031476
"Mon Apr 03 15:51:01 PDT 2017",81.15381569830743
"Mon Apr 03 15:51:14 PDT 2017",81.47550232604176
"Mon Apr 03 15:51:50 PDT 2017",82.36632683361377
"Mon Apr 03 15:52:03 PDT 2017",82.68801346134812
"Mon Apr 03 15:53:26 PDT 2017",84.7418588538058
"Mon Apr 03 15:55:17 PDT 2017",87.48856775215282
