"Mon Apr 03 14:57:06 PDT 2017",Infinity
"Mon Apr 03 14:57:27 PDT 2017",Infinity
"Mon Apr 03 14:59:42 PDT 2017",Infinity
"Mon Apr 03 14:59:54 PDT 2017",Infinity
"Mon Apr 03 15:02:37 PDT 2017",Infinity
"Mon Apr 03 15:05:26 PDT 2017",Infinity
"Mon Apr 03 15:06:32 PDT 2017",Infinity
"Mon Apr 03 15:07:29 PDT 2017",Infinity
"Mon Apr 03 15:08:08 PDT 2017",Infinity
"Mon Apr 03 15:08:29 PDT 2017",Infinity
"Mon Apr 03 15:13:38 PDT 2017",108.8503306648103
"Mon Apr 03 15:14:36 PDT 2017",114.90671771667247
"Mon Apr 03 15:15:14 PDT 2017",118.87469544030631
"Mon Apr 03 15:15:31 PDT 2017",120.64984336930038
"Mon Apr 03 15:16:10 PDT 2017",124.82666202575706
"Mon Apr 03 15:19:07 PDT 2017",143.20466411416638
"Mon Apr 03 15:19:33 PDT 2017",146.02401670727463
"Mon Apr 03 15:21:38 PDT 2017",106.63466042154568
"Mon Apr 03 15:22:01 PDT 2017",108.25058548009368
"Mon Apr 03 15:22:53 PDT 2017",111.903981264637
"Mon Apr 03 15:23:53 PDT 2017",92.5465768799102
"Mon Apr 03 15:25:18 PDT 2017",97.31649831649833
"Mon Apr 03 15:26:56 PDT 2017",91.85953177257525
"Mon Apr 03 15:27:01 PDT 2017",92.11036789297658
"Mon Apr 03 15:29:46 PDT 2017",100.33779264214047
"Mon Apr 03 15:33:19 PDT 2017",111.02341137123744
"Mon Apr 03 15:33:34 PDT 2017",111.77591973244147
"Mon Apr 03 15:34:39 PDT 2017",115.08695652173914
"Mon Apr 03 15:37:24 PDT 2017",68.62831195580938
"Mon Apr 03 15:40:03 PDT 2017",59.928835489833645
"Mon Apr 03 15:42:00 PDT 2017",56.07377728654325
"Mon Apr 03 15:45:09 PDT 2017",54.34382247853069
"Mon Apr 03 15:45:21 PDT 2017",54.569485363254564
"Mon Apr 03 15:46:13 PDT 2017",55.547357863724685
"Mon Apr 03 15:46:49 PDT 2017",56.22434651789632
"Mon Apr 03 15:46:54 PDT 2017",56.318372719864605
"Mon Apr 03 15:46:58 PDT 2017",56.41239892183289
"Mon Apr 03 15:49:18 PDT 2017",50.01758124667022
"Mon Apr 03 15:49:26 PDT 2017",50.14544485881726
"Mon Apr 03 15:51:14 PDT 2017",43.85423728813559
"Mon Apr 03 15:56:31 PDT 2017",39.53812327644034
"Mon Apr 03 15:57:36 PDT 2017",39.26333018113043
"Mon Apr 03 15:57:37 PDT 2017",39.274241652724236
"Mon Apr 03 16:00:58 PDT 2017",36.77540522178007
"Mon Apr 03 16:03:07 PDT 2017",36.17067759529165
"Mon Apr 03 16:07:24 PDT 2017",37.38263002063582
"Mon Apr 03 16:08:57 PDT 2017",38.21703502108443
"Mon Apr 03 16:12:54 PDT 2017",39.48190654643401
"Mon Apr 03 16:13:17 PDT 2017",39.67513760393489
"Mon Apr 03 16:13:43 PDT 2017",38.7287152363078
"Mon Apr 03 16:15:02 PDT 2017",36.850654021365585
"Mon Apr 03 16:17:13 PDT 2017",37.89762101393292
"Mon Apr 03 16:17:43 PDT 2017",38.13738444734528
"Mon Apr 03 16:17:56 PDT 2017",38.24128193515731
"Mon Apr 03 16:20:13 PDT 2017",33.07065706570657
"Mon Apr 03 16:20:15 PDT 2017",33.084158415841586
"Mon Apr 03 16:21:21 PDT 2017",33.52970297029703
"Mon Apr 03 16:23:37 PDT 2017",34.45454545454545
"Mon Apr 03 16:23:50 PDT 2017",34.535553555355534
"Mon Apr 03 16:24:50 PDT 2017",34.94059405940594
"Mon Apr 03 16:24:59 PDT 2017",35.0013501350135
"Mon Apr 03 16:25:32 PDT 2017",30.109650987515945
"Mon Apr 03 16:25:49 PDT 2017",29.83046964490263
"Mon Apr 03 16:31:13 PDT 2017",30.358865871751195
"Mon Apr 03 16:37:30 PDT 2017",28.24215483684944
"Mon Apr 03 16:42:04 PDT 2017",24.840626439428835
"Mon Apr 03 16:42:12 PDT 2017",24.873140596634787
"Mon Apr 03 16:44:26 PDT 2017",24.298063076503936
"Mon Apr 03 16:44:36 PDT 2017",24.336983173544713
"Mon Apr 03 16:45:32 PDT 2017",24.554935716973052
"Mon Apr 03 16:49:37 PDT 2017",25.50847809447205
"Mon Apr 03 16:49:41 PDT 2017",25.52404613328836
"Mon Apr 03 16:49:53 PDT 2017",25.570750249737287
"Mon Apr 03 16:50:53 PDT 2017",25.067373202119608
"Mon Apr 03 16:51:08 PDT 2017",25.12414837244512
"Mon Apr 03 16:52:49 PDT 2017",25.30366465926306
"Mon Apr 03 16:53:58 PDT 2017",25.239889182971776
"Mon Apr 03 16:54:06 PDT 2017",25.269572315531697
"Mon Apr 03 16:55:35 PDT 2017",25.039421749763907
"Mon Apr 03 16:55:37 PDT 2017",25.046686199966096
