"Mon Apr 03 14:55:37 PDT 2017",Infinity
"Mon Apr 03 14:56:54 PDT 2017",Infinity
"Mon Apr 03 14:57:22 PDT 2017",Infinity
"Mon Apr 03 14:59:26 PDT 2017",Infinity
"Mon Apr 03 14:59:43 PDT 2017",Infinity
"Mon Apr 03 15:03:37 PDT 2017",Infinity
"Mon Apr 03 15:03:59 PDT 2017",Infinity
"Mon Apr 03 15:07:22 PDT 2017",Infinity
"Mon Apr 03 15:08:16 PDT 2017",Infinity
"Mon Apr 03 15:09:03 PDT 2017",376.51824817518246
"Mon Apr 03 15:09:20 PDT 2017",383.9635036496351
"Mon Apr 03 15:09:40 PDT 2017",392.72262773722633
"Mon Apr 03 15:14:12 PDT 2017",97.04632989115267
"Mon Apr 03 15:15:41 PDT 2017",104.58191459670667
"Mon Apr 03 15:16:49 PDT 2017",110.27546748534749
"Mon Apr 03 15:17:30 PDT 2017",113.70834496232207
"Mon Apr 03 15:18:33 PDT 2017",118.98325425620988
"Mon Apr 03 15:19:37 PDT 2017",87.60809476801579
"Mon Apr 03 15:20:58 PDT 2017",92.4649555774926
"Mon Apr 03 15:21:09 PDT 2017",93.05725567620928
"Mon Apr 03 15:21:17 PDT 2017",93.53109575518263
"Mon Apr 03 15:21:47 PDT 2017",95.36722606120435
"Mon Apr 03 15:23:22 PDT 2017",100.99407699901282
"Mon Apr 03 15:23:23 PDT 2017",101.05330700888449
"Mon Apr 03 15:23:30 PDT 2017",101.40868706811452
"Mon Apr 03 15:24:32 PDT 2017",88.1340411413404
"Mon Apr 03 15:25:34 PDT 2017",91.21964167219642
"Mon Apr 03 15:29:06 PDT 2017",88.65716765514249
"Mon Apr 03 15:36:19 PDT 2017",68.78303380202999
"Mon Apr 03 15:39:43 PDT 2017",46.6879632897988
"Mon Apr 03 15:45:49 PDT 2017",46.47511218857997
"Mon Apr 03 15:47:02 PDT 2017",47.60473513178935
"Mon Apr 03 15:47:14 PDT 2017",47.79042657450869
"Mon Apr 03 15:47:16 PDT 2017",47.821375148295246
"Mon Apr 03 15:47:44 PDT 2017",48.25465518130706
"Mon Apr 03 15:48:05 PDT 2017",48.57961520606592
"Mon Apr 03 15:51:33 PDT 2017",44.992092020129405
"Mon Apr 03 15:52:30 PDT 2017",45.760424155283964
"Mon Apr 03 15:55:56 PDT 2017",42.672014260249554
"Mon Apr 03 15:56:28 PDT 2017",43.052287581699346
"Mon Apr 03 15:56:40 PDT 2017",43.194890077243016
"Mon Apr 03 15:58:14 PDT 2017",43.20527881902848
"Mon Apr 03 15:58:24 PDT 2017",43.33280519380145
"Mon Apr 03 15:59:04 PDT 2017",43.78494415890559
"Mon Apr 03 16:01:01 PDT 2017",41.31791600212652
"Mon Apr 03 16:03:27 PDT 2017",40.392455858747994
"Mon Apr 03 16:03:38 PDT 2017",40.502808988764045
"Mon Apr 03 16:04:18 PDT 2017",39.88062622309197
"Mon Apr 03 16:07:14 PDT 2017",41.59295499021526
"Mon Apr 03 16:08:15 PDT 2017",41.304006133793365
"Mon Apr 03 16:13:23 PDT 2017",40.19220703692934
"Mon Apr 03 16:13:38 PDT 2017",40.32305902878744
"Mon Apr 03 16:16:39 PDT 2017",41.90200639720849
"Mon Apr 03 16:17:58 PDT 2017",37.7564632885212
"Mon Apr 03 16:18:27 PDT 2017",37.98138572905894
"Mon Apr 03 16:20:04 PDT 2017",35.13004842728854
"Mon Apr 03 16:23:16 PDT 2017",35.74047789119565
"Mon Apr 03 16:26:52 PDT 2017",33.754833169260415
"Mon Apr 03 16:28:07 PDT 2017",33.74649807859179
"Mon Apr 03 16:28:27 PDT 2017",33.876657989339286
"Mon Apr 03 16:30:24 PDT 2017",33.93138188968397
"Mon Apr 03 16:30:38 PDT 2017",34.01652105167136
"Mon Apr 03 16:31:17 PDT 2017",33.785740007202016
"Mon Apr 03 16:35:28 PDT 2017",30.96032487095012
"Mon Apr 03 16:36:49 PDT 2017",29.028911647963934
"Mon Apr 03 16:37:42 PDT 2017",21.52304777174507
"Mon Apr 03 16:37:51 PDT 2017",21.55584302007798
"Mon Apr 03 16:38:53 PDT 2017",21.45017655155904
"Mon Apr 03 16:40:32 PDT 2017",21.59901078176707
"Mon Apr 03 16:43:09 PDT 2017",20.42904181758314
"Mon Apr 03 16:43:12 PDT 2017",20.43891998682911
"Mon Apr 03 16:46:53 PDT 2017",20.302449212075185
"Mon Apr 03 16:46:55 PDT 2017",20.308777925447757
"Mon Apr 03 16:47:17 PDT 2017",20.381558129232328
"Mon Apr 03 16:48:01 PDT 2017",20.51762546674261
"Mon Apr 03 16:48:05 PDT 2017",20.53344725017404
"Mon Apr 03 16:48:59 PDT 2017",20.554966526626785
"Mon Apr 03 16:52:28 PDT 2017",20.52844768935509
"Mon Apr 03 16:52:34 PDT 2017",20.54672569786452
"Mon Apr 03 16:52:34 PDT 2017",20.549772032616094
"Mon Apr 03 16:54:39 PDT 2017",20.78571428571429
"Mon Apr 03 16:57:30 PDT 2017",21.168851094553805
"Mon Apr 03 17:00:26 PDT 2017",20.6793396027657
"Mon Apr 03 17:01:31 PDT 2017",20.54749320446995
"Mon Apr 03 17:02:28 PDT 2017",20.445553970518308
"Mon Apr 03 17:03:02 PDT 2017",20.41625570099003
"Mon Apr 03 17:04:12 PDT 2017",20.613704623827356
"Mon Apr 03 17:05:38 PDT 2017",20.417083874719463
"Mon Apr 03 17:09:32 PDT 2017",20.37461038617994
"Mon Apr 03 17:17:42 PDT 2017",20.366152416202624
"Mon Apr 03 17:18:39 PDT 2017",20.508062307571016
"Mon Apr 03 17:20:22 PDT 2017",20.546702597007815
"Mon Apr 03 17:21:21 PDT 2017",20.689657155532913
