"Mon Apr 03 14:54:53 PDT 2017",Infinity
"Mon Apr 03 14:56:10 PDT 2017",Infinity
"Mon Apr 03 14:58:32 PDT 2017",Infinity
"Mon Apr 03 14:59:10 PDT 2017",Infinity
"Mon Apr 03 15:03:29 PDT 2017",Infinity
"Mon Apr 03 15:04:56 PDT 2017",Infinity
"Mon Apr 03 15:05:27 PDT 2017",Infinity
"Mon Apr 03 15:05:54 PDT 2017",Infinity
"Mon Apr 03 15:10:26 PDT 2017",284.1063829787234
"Mon Apr 03 15:11:36 PDT 2017",305.0790273556231
"Mon Apr 03 15:14:25 PDT 2017",243.57142857142858
"Mon Apr 03 15:15:20 PDT 2017",255.0
"Mon Apr 03 15:15:28 PDT 2017",256.6623376623377
"Mon Apr 03 15:18:30 PDT 2017",222.2521602513747
"Mon Apr 03 15:20:44 PDT 2017",243.46190102120974
"Mon Apr 03 15:21:35 PDT 2017",251.47446975648074
"Mon Apr 03 15:21:50 PDT 2017",253.83110761979577
"Mon Apr 03 15:22:06 PDT 2017",256.34485467399844
"Mon Apr 03 15:22:21 PDT 2017",258.7014925373134
"Mon Apr 03 15:23:38 PDT 2017",270.7989002356638
"Mon Apr 03 15:25:32 PDT 2017",288.7093479968578
"Mon Apr 03 15:26:12 PDT 2017",294.9937156323645
"Mon Apr 03 15:26:19 PDT 2017",296.09347996857815
"Mon Apr 03 15:29:18 PDT 2017",197.2283935839119
"Mon Apr 03 15:35:21 PDT 2017",159.32948929159804
"Mon Apr 03 15:35:27 PDT 2017",129.08
"Mon Apr 03 15:36:59 PDT 2017",102.35885655946912
"Mon Apr 03 15:38:33 PDT 2017",98.30930078531556
"Mon Apr 03 15:42:25 PDT 2017",76.16312056737588
"Mon Apr 03 15:43:34 PDT 2017",71.81776892926025
"Mon Apr 03 15:46:00 PDT 2017",69.59229045786178
"Mon Apr 03 15:49:06 PDT 2017",63.39371479395197
"Mon Apr 03 15:52:18 PDT 2017",67.18855618144086
"Mon Apr 03 15:53:37 PDT 2017",65.61004152510381
"Mon Apr 03 15:53:44 PDT 2017",65.74216685541714
"Mon Apr 03 15:56:46 PDT 2017",58.27933673469388
"Mon Apr 03 15:57:32 PDT 2017",59.01275510204081
"Mon Apr 03 15:57:41 PDT 2017",59.15625
"Mon Apr 03 15:59:15 PDT 2017",57.40507476212053
"Mon Apr 03 16:00:34 PDT 2017",58.59824799879173
"Mon Apr 03 16:02:50 PDT 2017",58.99853016829573
"Mon Apr 03 16:04:30 PDT 2017",55.38778399514596
"Mon Apr 03 16:09:11 PDT 2017",56.49991947692209
"Mon Apr 03 16:09:26 PDT 2017",56.693174863916
"Mon Apr 03 16:09:45 PDT 2017",56.93796502077495
"Mon Apr 03 16:14:39 PDT 2017",50.6609145815358
"Mon Apr 03 16:17:10 PDT 2017",51.14180206794683
"Mon Apr 03 16:17:12 PDT 2017",51.1629035661532
